id,SalePrice
1461,117719.29636963931
1462,161827.17871688964
1463,152132.96071355665
1464,170970.54392142262
1465,220204.85154152656
1466,164026.04893876944
1467,161659.54470076348
1468,157178.28302930237
1469,199112.34293184226
1470,106689.64222270611
1471,201425.21725490596
1472,111396.79968360507
1473,105424.6225106392
1474,161132.76886834129
1475,137676.68207838686
1476,354609.5145106604
1477,269269.67459020315
1478,319960.91821707616
1479,293743.70701062627
1480,436091.15358154156
1481,312613.25441024086
1482,228994.6887318537
1483,173590.55475698336
1484,179952.7043501625
1485,154466.46866781422
1486,193746.51014999143
1487,326274.54277620517
1488,274938.5279814946
1489,191918.71725872566
1490,187286.86424613924
1491,191064.7046916929
1492,119042.62934506826
1493,181553.83752759447
1494,294287.8596040021
1495,296131.556993591
1496,213325.7916686306
1497,194736.89806391211
1498,156389.06685817256
1499,156389.06685817256
1500,139583.04941703656
1501,158362.22562583166
1502,146173.56039866921
1503,261243.71646852238
1504,237150.77961926468
1505,215801.1091580917
1506,214602.20599625332
1507,222325.4488850135
1508,200039.20965733024
1509,165045.3375349132
1510,147796.7290546569
1511,146341.04790476972
1512,168059.09752598184
1513,165795.1197353468
1514,112505.32988593024
1515,193371.89747057518
1516,166107.65200984155
1517,145370.41996454514
1518,175566.06539954263
1519,215243.60063845364
1520,130130.47442584987
1521,134603.83327964979
1522,186600.4453768303
1523,111204.97792164718
1524,120707.58377172024
1525,117709.61743967103
1526,117868.04997343337
1527,106495.00563041292
1528,137968.75969326939
1529,143443.24892349364
1530,179511.54225439663
1531,124982.4753039102
1532,77142.03649336638
1533,157251.80744989795
1534,138246.5937209784
1535,142029.20361446906
1536,130833.16339219706
1537,79570.456683213
1538,200341.9834916752
1539,220997.46810739426
1540,106210.2759571981
1541,161560.79942708366
1542,144085.9055851342
1543,206538.1138724433
1544,87447.52009962259
1545,123365.11098300894
1546,142962.35606289783
1547,130842.0086148481
1548,144759.32753230206
1549,114279.69551999867
1550,148882.51230122682
1551,141917.5853096831
1552,143609.80701104415
1553,100436.13991695404
1554,131127.86667233706
1555,162069.93629430726
1556,114216.83029739858
1557,95101.78045419541
1558,113731.02837264059
1559,84043.33405438402
1560,151381.45216285167
1561,102982.70490783005
1562,113186.45100911887
1563,108917.82037640805
1564,158774.23594744047
1565,136413.86299750663
1566,215420.4358436723
1567,93962.98455602053
1568,194768.77348901832
1569,114134.01547602449
1570,134729.6161247695
1571,117147.89049521775
1572,133534.89191394515
1573,216684.26612349402
1574,151969.7224970515
1575,208973.33779263985
1576,209310.81715083757
1577,191211.14518665086
1578,155293.84579503318
1579,126376.27711658551
1580,196103.485277713
1581,121763.57964427223
1582,119729.41096740893
1583,313231.1691943464
1584,223607.45593141206
1585,131776.34746851155
1586,25077.16046606851
1587,102700.72481446505
1588,134515.6013539673
1589,111515.41534628948
1590,142864.23132387843
1591,69186.66435238099
1592,135726.7988918866
1593,132130.23680455808
1594,33289.23471964802
1595,94009.27967987415
1596,220796.161443148
1597,174736.0526099409
1598,172388.0648614327
